"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Identification Date","Identification Analyst","Advanced ID Date","Advanced ID Analyst","Microhabitat Type","Plot Number","Common Name","Scientific Name","Taxonomic Resolution","Unique Taxonomic Identification Number"
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Brachythecium,Genus,99000537,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,RR,2,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,2,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,2,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1253,2007,23-Jul-07,MPA,15-Aug-07,RCA,VNA,VNA,UH,2,Liverworts,Marchantiopsida,Class,99000390,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,2,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1253,2007,23-Jul-07,MPA,15-Aug-07,RCA,VNA,VNA,WSB,2,VNA,Bryum,Genus,99000545,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,3,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,3,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Bryum,Genus,99000545,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Astomum muhlenbergianum,Species,99001359,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Astomum muhlenbergianum,Species,99001359,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Astomum muhlenbergianum,Species,99001359,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,3,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,WSB,3,VNA,Brachythecium,Genus,99000537,
Rotation 1,1253,2007,23-Jul-07,MPA,15-Aug-07,RCA,VNA,VNA,WSB,3,VNA,Bryum,Genus,99000545,
Rotation 1,1253,2007,23-Jul-07,MPA,15-Aug-07,RCA,VNA,VNA,LH,4,VNA,Bryum,Genus,99000545,
Rotation 1,1253,2007,23-Jul-07,MPA,15-Aug-07,RCA,VNA,VNA,LH,4,VNA,Eurhynchiastrum pulchellum,Species,99001127,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LH,4,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,LH,4,VNA,Leptodictyum riparium,Species,99000977,
Rotation 1,1253,2007,23-Jul-07,MPA,15-Aug-07,RCA,VNA,VNA,LH,4,VNA,Eurhynchiastrum pulchellum,Species,99001127,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,4,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,5,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,5,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,5,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,5,VNA,Brachythecium,Genus,99000537,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,5,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,6,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,6,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1253,2007,23-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,TD,6,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1254,2007,04-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,UH,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1254,2007,04-Jun-07,MPA,22-Aug-07,RCA,VNA,VNA,UH,1,VNA,Polytrichum piliferum,Species,99000870,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,VNA,Bryum,Genus,99000545,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,2,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1254,2007,04-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,UH,2,Golden Moss,Tomentypnum nitens,Species,99000763,
Rotation 1,1254,2007,04-Jun-07,MPA,22-Aug-07,RCA,VNA,VNA,UH,2,VNA,Polytrichum piliferum,Species,99000870,
Rotation 1,1254,2007,04-Jun-07,MPA,22-Aug-07,RCA,VNA,VNA,UH,2,VNA,Polytrichum piliferum,Species,99000870,
Rotation 1,1254,2007,24-Jul-07,MPA,15-Aug-07,DFR,VNA,VNA,UH,2,VNA,Orthotrichum,Genus,99000633,
Rotation 1,1254,2007,04-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,UH,2,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1254,2007,04-Jun-07,MPA,21-Aug-07,RCA,VNA,VNA,UH,3,Juniper Polytrichum Moss,Polytrichum juniperinum,Species,99000866,
Rotation 1,1254,2007,04-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,UH,3,Copper Wire Moss,Pohlia nutans,Species,99000859,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,Juniper Polytrichum Moss,Polytrichum juniperinum,Species,99000866,
Rotation 1,1254,2007,04-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,UH,3,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Ptychostomum creberrimum,Species,99001228,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,3,VNA,Bryum,Genus,99000545,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,4,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,4,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,4,Hairy Screw Moss,Syntrichia ruralis,Species,99000708,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,4,VNA,Bryum,Genus,99000545,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,4,VNA,Bryum,Genus,99000545,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,4,VNA,Abietinella abietina,Species,99001263,
Rotation 1,1254,2007,04-Jun-07,MPA,15-Aug-07,DFR,VNA,VNA,UH,5,Tufted Moss,Aulacomnium palustre,Species,99001296,
Rotation 1,1254,2007,04-Jun-07,MPA,22-Aug-07,RCA,VNA,VNA,UH,6,VNA,Polytrichum piliferum,Species,99000870,
Rotation 1,1254,2007,24-Jul-07,MPA,VNA,VNA,JD,1-Aug-08,UH,6,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1083,2008,28-May-08,MMA,10-Jun-09,LML,DNC,DNC,DM,1,VNA,Bryum argenteum,Species,99001220,
Rotation 1,1083,2008,28-May-08,MMA,12-Aug-08,EE,DNC,DNC,DM,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1083,2008,28-May-08,MMA,10-Jun-09,LML,DNC,DNC,DM,1,VNA,Bryum,Genus,99000545,
Rotation 1,1083,2008,28-May-08,MMA,10-Jun-09,LML,DNC,DNC,DM,1,VNA,Funaria,Genus,99000584,
Rotation 1,1083,2008,28-May-08,MMA,12-Aug-08,EE,DNC,DNC,LH,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1083,2008,28-May-08,MMA,12-Aug-08,EE,DNC,DNC,LH,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1083,2008,28-May-08,MMA,10-Jun-09,LML,DNC,DNC,LH,1,VNA,Leskea polycarpa,Species,99000981,
Rotation 1,1083,2008,28-May-08,MMA,12-Aug-08,EE,DNC,DNC,LS,1,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,LH,1,SNR,SNR,VNA,VNA,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,LH,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,LS,1,VNA,Haplocladium microphyllum,Species,99001215,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,LS,1,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,LS,1,VNA,Campyliadelphus chrysophyllus,Species,99001258,
Rotation 1,1085,2008,27-May-08,DTH,8-Aug-08,RCA,DNC,DNC,LS,1,VNA,Sanionia uncinata,Species,99000804,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,LS,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1085,2008,27-May-08,DTH,8-Aug-08,RCA,DNC,DNC,RR,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,TD,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1085,2008,27-May-08,DTH,8-Aug-08,RCA,DNC,DNC,TD,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,TD,1,VNA,Haplocladium microphyllum,Species,99001215,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,TD,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,TD,1,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1085,2008,27-May-08,DTH,8-Aug-08,RCA,DNC,DNC,LH,2,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1085,2008,27-May-08,DTH,8-Aug-08,RCA,DNC,DNC,LS,2,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,LS,2,VNA,Campyliadelphus chrysophyllus,Species,99001258,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,LS,2,VNA,Haplocladium microphyllum,Species,99001215,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,RR,2,VNA,Plagiomnium ellipticum,Species,99000961,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,RR,2,VNA,Brachythecium,Genus,99000537,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,RR,2,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1085,2008,27-May-08,DTH,8-Aug-08,RCA,DNC,DNC,RR,2,VNA,Climacium dendroides,Species,99001166,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,RR,2,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,RR,2,VNA,Brachythecium,Genus,99000537,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,TD,2,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1085,2008,27-May-08,DTH,8-Aug-08,RCA,DNC,DNC,TD,2,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,TD,2,VNA,Brachythecium,Genus,99000537,
Rotation 1,1085,2008,27-May-08,DTH,14-May-09,LML,DNC,DNC,TD,2,SNI,SNI,VNA,VNA,
Rotation 1,1116,2008,27-May-08,CBA,12-Aug-08,KBR,DNC,DNC,DM,1,VNA,Marchantia polymorpha,Species,99001013,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,DM,1,VNA,Preissia quadrata,Species,99000879,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,DM,1,VNA,Thuidium recognitum,Species,99000757,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,KBR,DNC,DNC,LH,1,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LH,1,Whip Fork Moss,Dicranum flagellare,Species,99000329,
Rotation 1,1116,2008,27-May-08,CBA,12-Aug-08,KBR,DNC,DNC,LS,1,Tufted Moss,Aulacomnium palustre,Species,99001296,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,1,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,1,VNA,Lepidozia reptans,Species,99000975,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,1,VNA,Chiloscyphus pallescens,Species,99001160,
Rotation 1,1116,2008,27-May-08,CBA,12-Aug-08,KBR,DNC,DNC,LS,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,1,VNA,Plagiomnium ellipticum,Species,99000961,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,1,VNA,Plagiomnium ellipticum,Species,99000961,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,1,Whip Fork Moss,Dicranum flagellare,Species,99000329,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,1,VNA,Hypnum pallescens,Species,99001080,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,1,VNA,Ptilidium pulcherrimum,Species,99000893,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,KBR,DNC,DNC,LS,1,VNA,Sanionia uncinata,Species,99000804,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TC,1,VNA,Haplocladium microphyllum,Species,99001215,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TC,1,VNA,Drepanocladus aduncus,Species,99001109,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TC,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TC,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TC,1,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TC,1,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TD,1,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TD,1,VNA,Eurhynchiastrum pulchellum,Species,99001127,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,KBR,DNC,DNC,TD,1,VNA,Platygyrium repens,Species,99000841,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TD,1,VNA,Lophocolea heterophylla,Species,99000988,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TD,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TD,1,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TD,1,VNA,Herzogiella turfacea,Species,99001057,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,KBR,DNC,DNC,TD,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TD,1,VNA,Lophocolea minor,Species,99000989,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TD,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TD,1,VNA,Eurhynchiastrum pulchellum,Species,99001127,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,KBR,DNC,DNC,TD,1,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,TD,1,VNA,Lophocolea minor,Species,99000989,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,KBR,DNC,DNC,TD,1,VNA,Orthotrichum obtusifolium,Species,99000932,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,VNA,Lophocolea heterophylla,Species,99000988,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,Mountain Curved-back Moss,Oncophorus wahlenbergii,Species,99000342,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,VNA,Haplocladium microphyllum,Species,99001215,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,VNA,Plagiomnium ellipticum,Species,99000961,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,VNA,Eurhynchiastrum pulchellum,Species,99001127,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1116,2008,27-May-08,CBA,12-Aug-08,KBR,DNC,DNC,UH,1,Knight's Plume Moss,Ptilium crista-castrensis,Species,99000894,
Rotation 1,1116,2008,27-May-08,CBA,12-Aug-08,KBR,DNC,DNC,UH,1,VNA,Sanionia uncinata,Species,99000804,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,VNA,Bryum,Genus,99000545,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,VNA,Bryum,Genus,99000545,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,VNA,Plagiomnium ellipticum,Species,99000961,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,UH,1,VNA,Lophocolea minor,Species,99000989,
Rotation 1,1116,2008,27-May-08,CBA,12-Aug-08,EE,DNC,DNC,UH,1,VNA,Eurhynchiastrum pulchellum,Species,99001127,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WDS,1,VNA,Plagiomnium ellipticum,Species,99000961,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WDS,1,VNA,Mnium spinulosum,Species,99000903,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WDS,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WDS,1,VNA,Thuidium recognitum,Species,99000757,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WDS,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WDS,1,VNA,Chiloscyphus pallescens,Species,99001160,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WDS,1,VNA,Leptodictyum,Genus,99000609,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WSB,1,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1116,2008,27-May-08,CBA,8-Aug-08,KBR,DNC,DNC,WSB,1,VNA,Marchantia polymorpha,Species,99001013,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WSB,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WSB,1,VNA,Sanionia uncinata,Species,99000804,
Rotation 1,1116,2008,27-May-08,CBA,8-Aug-08,KBR,DNC,DNC,WSB,1,VNA,Marchantia polymorpha,Species,99001013,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WSB,1,Hispid Campylium Moss,Campylophyllum hispidulum,Species,99001260,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WSB,1,VNA,Chiloscyphus pallescens,Species,99001160,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WSB,1,VNA,Brachythecium,Genus,99000537,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WSB,1,VNA,Plagiomnium ellipticum,Species,99000961,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WSB,1,VNA,Plagiomnium ciliare,Species,99000958,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WSB,1,VNA,Plagiomnium ellipticum,Species,99000961,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WSB,1,VNA,Amblystegium serpens,Species,99001267,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,WSB,1,Leptodictyum Moss,Hygroamblystegium varium spp. varium var. humile,Species,99001356,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,DM,2,Variable Fork Moss,Dicranella varia,Species,99001196,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,DM,2,VNA,Bryum,Genus,99000545,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,DM,2,VNA,Hypnum lindbergii,Species,99001079,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,DM,2,Variable Fork Moss,Dicranella varia,Species,99001196,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,DM,2,VNA,Mnium spinulosum,Species,99000903,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,DM,2,VNA,Brachythecium,Genus,99000537,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,KBR,DNC,DNC,LH,2,VNA,Sanionia uncinata,Species,99000804,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,KBR,DNC,DNC,LH,2,Big Redstem,Pleurozium schreberi,Species,99000843,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,EE,DNC,DNC,LS,2,VNA,Eurhynchiastrum pulchellum,Species,99001127,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,EE,DNC,DNC,LS,2,Cushion Moss,Dicranum fragilifolium,Species,99000330,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,2,VNA,Mnium spinulosum,Species,99000903,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,2,Purple Horn-toothed Moss,Ceratodon purpureus,Species,99000320,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,2,VNA,Brachythecium,Genus,99000537,
Rotation 1,1116,2008,27-May-08,CBA,12-Aug-08,KBR,DNC,DNC,LS,2,Big Redstem,Pleurozium schreberi,Species,99000843,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,2,VNA,Bryum,Genus,99000545,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,2,VNA,Plagiomnium cuspidatum,Species,99000959,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,2,Aspen Stocking Moss,Pylaisia polyantha,Species,99000895,
Rotation 1,1116,2008,27-May-08,CBA,22-Jun-09,LML,DNC,DNC,LS,2,VNA,Brachythecium,Genus,99000537,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,KBR,DNC,DNC,LS,2,Big Redstem,Pleurozium schreberi,Species,99000843,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,KBR,DNC,DNC,LS,2,Knight's Plume Moss,Ptilium crista-castrensis,Species,99000894,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,KBR,DNC,DNC,LS,2,VNA,Sanionia uncinata,Species,99000804,
Rotation 1,1116,2008,27-May-08,CBA,11-Aug-08,KBR,DNC,DNC,LS,2,VNA,Platygyrium repens,Species,99000841,
