"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Quadrant","Stratum","Identification Date","Identification Analyst","Common Name","Scientific Name","Taxonomic Resolution","Unique Taxonomic Identification Number","Identification Qualifier ","Qualifier Taxonomic Rank "
Rotation 1,1212,2017,28-May-17,EED,NE,Tree/Other,17-Aug-17,moss10,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Upland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Plagiomnium,Genus,99000643,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Cushion Moss,Climacium dendroides,Species,99001166,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Mountain Spur-moss,Oncophorus wahlenbergii,Species,99000342,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Sickle-leaved Hook-moss,Sanionia uncinata,Species,99000804,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Marsh Thyme-moss,Plagiomnium ellipticum,Species,99000961,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Bright Silk-moss,Plagiothecium laetum,Species,99000838,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Cushion Moss,Climacium dendroides,Species,99001166,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Marsh Thyme-moss,Plagiomnium ellipticum,Species,99000961,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Cushion Moss,Climacium dendroides,Species,99001166,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,16-Aug-17,moss10,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,16-Aug-17,moss10,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,16-Aug-17,moss10,Cushion Moss,Climacium dendroides,Species,99001166,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,16-Aug-17,moss10,Sickle-leaved Hook-moss,Sanionia uncinata,Species,99000804,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,16-Aug-17,moss10,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,16-Aug-17,moss10,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,16-Aug-17,moss10,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Plagiomnium,Genus,99000643,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Meadow Hypnum Moss,Hypnum pratense,Species,99001081,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Plagiomnium,Genus,99000643,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Warnstorf's Bog-moss,Sphagnum warnstorfii,Species,99000310,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Meadow Hypnum Moss,Hypnum pratense,Species,99001081,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Marsh Thyme-moss,Plagiomnium ellipticum,Species,99000961,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Marsh Thyme-moss,Plagiomnium ellipticum,Species,99000961,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Cushion Moss,Climacium dendroides,Species,99001166,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Hispid Campylium Moss,Campylium stellatum,Species,99001144,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Brachythecium,Genus,99000537,s.l.,Genus,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,16-Aug-17,moss10,Cushion Moss,Climacium dendroides,Species,99001166,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Marsh Thyme-moss,Plagiomnium ellipticum,Species,99000961,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Plagiomnium,Genus,99000643,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Warnstorf's Bog-moss,Sphagnum warnstorfii,Species,99000310,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Hispid Campylium Moss,Campylium stellatum,Species,99001144,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Wooly Feather-moss,Tomentypnum nitens,Species,99000763,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Meadow Hypnum Moss,Hypnum pratense,Species,99001081,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Knieff's Hook-moss,Drepanocladus aduncus,Species,99001109,cf.,Genus,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Marsh Thyme-moss,Plagiomnium ellipticum,Species,99000961,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Plagiomnium,Genus,99000643,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Bog Bead Moss,Aulacomnium palustre,Species,99001296,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Warnstorf's Bog-moss,Sphagnum warnstorfii,Species,99000310,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Meadow Hypnum Moss,Hypnum pratense,Species,99001081,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,VNA,Plagiothecium,Genus,99000280,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NE,Wetland,17-Jan-19,BM,Warnstorf's Bog-moss,Sphagnum warnstorfii,Species,99000310,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Blunt-leaved Bristle-moss,Orthotrichum obtusifolium,Species,99000932,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Mountain Spur-moss,Oncophorus wahlenbergii,Species,99000342,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Cushion Moss,Climacium dendroides,Species,99001166,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,VNA,Brachythecium,Genus,99000537,s.l.,Genus,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Mountain Spur-moss,Oncophorus wahlenbergii,Species,99000342,cf.,Genus,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Jan-19,BM,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Jan-19,BM,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Jan-19,BM,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Jan-19,BM,Knight's Plume Moss,Ptilidium pulcherrimum,Species,99000893,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Jan-19,BM,VNA,Geocalycaceae,Family,99000439,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Cushion Moss,Dicranum flagellare,Species,99000329,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Knight's Plume Moss,Ptilidium pulcherrimum,Species,99000893,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Greenland curved-tail moss,Dicranum fuscescens,Species,99000331,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,cf.,Genus,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,cf.,Genus,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Knight's Plume Moss,Ptilidium pulcherrimum,Species,99000893,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Wavy Dicranum,Dicranum scoparium,Species,99000335,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Greenland curved-tail moss,Dicranum fuscescens,Species,99000331,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,VNA,Orthotrichum elegans,Species,99001338,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Cushion Moss,Climacium dendroides,Species,99001166,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,16-Jan-19,BM,VNA,Plagiomnium,Genus,99000643,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Aug-17,moss10,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Aug-17,moss10,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Aug-17,moss10,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Aug-17,moss10,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Aug-17,moss10,Knight's Plume Moss,Ptilidium pulcherrimum,Species,99000893,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Aug-17,moss10,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Jan-19,BM,Hispid Campylium Moss,Campylium stellatum,Species,99001144,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Log/Stump,17-Jan-19,BM,Mountain Spur-moss,Oncophorus wahlenbergii,Species,99000342,cf.,Genus,
Rotation 1,1212,2017,28-May-17,EED,NW,Rock,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Tree/Other,17-Jan-19,BM,VNA,Orthotrichum elegans,Species,99001338,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Tree/Other,17-Jan-19,BM,VNA,Orthotrichum elegans,Species,99001338,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Tree/Other,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Tree/Other,17-Jan-19,BM,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Tree/Other,16-Aug-17,moss10,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Tree/Other,16-Aug-17,BM,VNA,Orthotrichum,Genus,99000633,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Tree/Other,17-Jan-19,BM,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Tree/Other,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Tree/Other,17-Jan-19,BM,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Tree/Other,17-Jan-19,BM,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,cf.,Genus,
Rotation 1,1212,2017,28-May-17,EED,NW,Upland,16-Aug-17,moss10,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Upland,17-Jan-19,BM,VNA,Brachythecium,Genus,99000537,s.l.,Genus,
Rotation 1,1212,2017,28-May-17,EED,NW,Upland,17-Jan-19,BM,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,NW,Wetland,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,VNA,Brachythecium,Genus,99000537,s.l.,Genus,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,Sickle-leaved Hook-moss,Sanionia uncinata,Species,99000804,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,cf.,Genus,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,Blunt-leaved Bristle-moss,Orthotrichum obtusifolium,Species,99000932,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,Creeping Feather-Moss,Amblystegium serpens,Species,99001267,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,Willow Feather-moss,Hygroamblystegium varium,Species,99001268,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,16-Aug-17,THI,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,16-Aug-17,THI,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,VNA,Brachythecium,Genus,99000537,s.l.,Genus,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Log/Stump,17-Jan-19,BM,VNA,Orthotrichum,Genus,99000633,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Rock,VNA,VNA,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Tree/Other,17-Aug-17,moss10,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Tree/Other,16-Jan-19,BM,VNA,Bryaceae,Family,99000494,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Tree/Other,16-Jan-19,BM,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Tree/Other,16-Jan-19,BM,VNA,Orthotrichum elegans,Species,99001338,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Tree/Other,16-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Tree/Other,17-Aug-17,moss10,Many-flowered Leskea,Pylaisia polyantha,Species,99000895,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Tree/Other,16-Jan-19,BM,VNA,VNA,VNA,VNA,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,moss10,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,moss10,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,moss10,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,moss10,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,moss10,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,17-Jan-19,BM,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,moss10,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,moss10,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,17-Jan-19,BM,Broom Moss,Dicranum polysetum,Species,99000334,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,17-Jan-19,BM,Woodsy Thyme-moss,Plagiomnium cuspidatum,Species,99000959,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,17-Jan-19,BM,Cord Moss,Eurhynchiastrum pulchellum,Species,99001127,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,17-Jan-19,BM,VNA,Brachythecium,Genus,99000537,s.l.,Genus,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,17-Jan-19,BM,VNA,Brachytheciaceae,Family,99000491,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,17-Jan-19,BM,Broom Moss,Dicranum polysetum,Species,99000334,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,17-Jan-19,BM,Purple Moss,Ceratodon purpureus,Species,99000320,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,moss10,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,moss10,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,moss10,Red-stemmed Feather-moss,Pleurozium schreberi,Species,99000843,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,moss10,Stair-step Moss,Hylocomium splendens,Species,99001074,VNA,VNA,
Rotation 1,1212,2017,28-May-17,EED,SE,Upland,16-Aug-17,moss10,Aspen Stocking Moss,Ptilium crista-castrensis,Species,99000894,VNA,VNA,
